employee_id,hire_date,department,job_level,education,gender,base_salary,bonus_pct,performance_score,projects_completed,training_hours,remote_days_wk,last_eval_date,attrition_risk
EMP-10022,2014-01-11,Operations,Manager,PhD,Male,139000.0,0.14,1.4,1,80.0,5,2024-03-15,Medium
EMP-10023,2022-08-30,Legal,Manager,High School,Non-binary,144600.0,0.09,3.7,9,82.0,0,2024-04-15,Low
EMP-10024,2015-02-08,Sales,Director,High School,Female,182700.0,0.01,,11,28.0,5,2024-09-21,Low
EMP-10025,2022-10-15,Marketing,Senior,Bachelor's,Male,84900.0,0.13,2.7,10,116.0,1,2024-02-21,Low
EMP-10026,2021-03-02,Legal,Lead,Master's,Male,123200.0,0.17,1.0,16,,5,2024-08-26,Medium
EMP-10027,2021-09-06,Sales,Junior,PhD,Female,39000.0,0.12,1.2,16,45.0,5,2024-02-18,Low
EMP-10028,2015-09-18,HR,Senior,Associate,Male,89100.0,0.23,,8,49.0,2,2024-04-13,Low
EMP-10029,2019-10-03,Operations,Director,High School,Female,171400.0,0.13,4.0,29,,2,2024-02-16,Low
EMP-10030,2022-11-26,Marketing,Director,PhD,Male,162400.0,0.09,3.3,26,44.0,4,2024-01-26,Low
EMP-10031,2017-10-30,Finance,Director,Master's,Male,170500.0,0.02,4.4,26,1.0,0,2024-07-31,Low
EMP-10032,2010-01-08,Legal,Junior,PhD,Female,46100.0,0.22,3.3,25,,1,2024-04-24,Low
EMP-10033,2012-07-05,Engineering,Mid,High School,Male,60900.0,0.06,3.7,20,56.0,4,2024-12-03,Low
EMP-10034,2016-06-03,R&D,Junior,PhD,Male,37800.0,0.21,2.3,10,52.0,3,2024-05-11,High
EMP-10035,2010-12-18,HR,Lead,Master's,Female,122000.0,0.12,1.2,13,36.0,4,2024-12-27,Low
EMP-10036,2023-02-15,Sales,Junior,Master's,Male,46400.0,0.23,,4,94.0,0,2024-08-14,Medium
EMP-10037,2011-01-23,HR,Director,Master's,Female,182100.0,0.17,,18,33.0,2,2024-12-17,High
EMP-10038,2015-06-26,HR,Senior,Bachelor's,Male,104500.0,0.2,3.8,8,118.0,1,2024-08-05,Low
EMP-10039,2012-06-29,Engineering,Senior,High School,Female,87500.0,0.13,3.9,22,44.0,2,2024-03-20,High
EMP-10040,2010-11-01,Operations,Manager,High School,Non-binary,144600.0,0.16,4.9,26,,2,2024-01-30,Low
EMP-10041,2017-02-22,Marketing,Senior,Master's,Female,91300.0,0.2,5.0,11,36.0,2,2024-12-22,Medium
EMP-10042,2014-09-18,Finance,Senior,Associate,Male,94800.0,0.11,3.4,1,44.0,2,2024-03-09,Medium
EMP-10043,2017-10-02,Finance,Mid,Bachelor's,Male,65100.0,0.16,4.4,13,113.0,2,2024-01-22,Low
EMP-10044,2011-12-07,Marketing,Director,High School,Female,173200.0,0.05,4.3,13,40.0,2,2024-03-22,Medium
EMP-10045,2019-05-11,Engineering,Junior,High School,Female,40400.0,0.24,4.4,27,70.0,3,2024-08-16,Low
EMP-10046,2018-10-30,Sales,Manager,High School,Non-binary,122900.0,0.18,3.0,9,28.0,3,2024-05-30,Medium
EMP-10047,2014-12-14,HR,Junior,Master's,Male,35000.0,0.16,3.9,10,14.0,1,2024-04-29,High
EMP-10048,2016-04-22,Sales,Director,Bachelor's,Female,184600.0,0.05,4.7,2,29.0,0,2024-10-25,Low
EMP-10049,2021-10-29,Legal,Lead,Master's,Female,108900.0,0.08,4.9,2,79.0,4,2024-06-12,Low
EMP-10050,2012-01-07,Finance,Mid,Master's,Male,78000.0,0.05,3.4,25,100.0,1,2024-12-27,Low
EMP-10051,2017-10-30,Marketing,Mid,PhD,Female,65500.0,,4.0,2,9.0,2,2024-10-14,Medium
EMP-10052,2019-07-06,HR,Senior,Associate,Prefer not to say,102300.0,0.25,3.5,27,95.0,3,2024-03-19,Low
EMP-10053,2019-12-05,HR,Director,Master's,Male,183500.0,0.15,4.2,13,,3,2024-06-07,Low
EMP-10054,2017-08-19,Finance,Director,High School,Female,183100.0,0.21,2.3,13,,2,2024-05-12,Low
EMP-10055,2021-04-14,Engineering,Senior,PhD,Female,101400.0,0.19,2.3,7,,5,2024-06-15,Low
EMP-10056,2020-02-27,HR,Manager,Master's,Female,126700.0,0.01,2.9,19,50.0,1,2024-10-07,Medium
EMP-10057,2021-05-29,R&D,Director,Associate,Female,183500.0,0.14,4.0,7,26.0,5,2024-04-19,Medium
EMP-10058,2011-03-21,Sales,Manager,Master's,Male,124300.0,0.1,3.8,27,99.0,4,2024-03-18,Low
EMP-10059,2014-08-15,Engineering,Director,Associate,,181600.0,0.14,3.0,5,17.0,0,2024-12-06,Low
EMP-10060,2019-08-11,Finance,Junior,Associate,Female,34200.0,0.2,4.2,17,109.0,3,2024-04-28,Low
EMP-10061,2021-06-25,Engineering,Lead,Bachelor's,Prefer not to say,124800.0,0.07,,11,48.0,4,2024-07-19,Low
EMP-10062,2012-11-11,Operations,Lead,PhD,Male,114800.0,0.14,1.7,16,28.0,2,2024-01-17,Low
EMP-10063,2020-12-24,Operations,Junior,Bachelor's,Female,42000.0,0.23,2.1,11,92.0,0,2024-06-16,Medium
EMP-10064,2014-03-31,R&D,Senior,Bachelor's,Male,84600.0,0.09,2.0,7,87.0,3,2024-07-13,High
EMP-10065,2010-12-24,Sales,Mid,High School,,59100.0,0.21,2.4,17,119.0,0,2024-03-20,Medium
EMP-10066,2022-07-17,Operations,Mid,PhD,Male,59200.0,0.01,3.8,16,44.0,2,2024-11-24,Low
EMP-10067,2015-11-10,R&D,Junior,High School,,49600.0,0.09,4.5,21,44.0,4,2024-05-29,Low
EMP-10068,2013-11-30,Marketing,Mid,,Female,57500.0,0.06,4.1,21,90.0,2,2024-04-24,Low
EMP-10069,2022-04-04,Operations,Junior,PhD,Male,34400.0,0.05,4.9,23,85.0,1,2024-12-01,Medium
EMP-10070,2013-09-02,R&D,Director,Master's,Female,173800.0,0.18,4.0,8,64.0,3,2024-10-06,Low
EMP-10071,2015-04-18,Engineering,Mid,Associate,Female,59400.0,0.05,3.0,11,76.0,0,2024-12-21,High
EMP-10072,2022-03-14,Engineering,Manager,High School,Male,126700.0,0.17,1.2,21,,2,2024-02-17,Medium
EMP-10073,2015-11-03,Finance,Lead,Associate,Prefer not to say,120300.0,0.19,,2,39.0,5,2024-04-11,Low
EMP-10074,2015-08-08,HR,Junior,Associate,Female,35700.0,0.07,1.9,0,103.0,0,2024-08-25,Low
EMP-10075,2011-05-02,Marketing,Manager,PhD,Male,138200.0,0.21,1.7,24,17.0,3,2024-03-17,Medium
EMP-10076,2013-10-08,Legal,Manager,Associate,Male,143200.0,0.01,2.0,25,116.0,0,2024-04-04,Medium
EMP-10077,2018-01-10,Marketing,Mid,Master's,Female,73700.0,0.17,1.6,22,58.0,2,2024-08-08,Low
EMP-10078,2017-10-15,Finance,Senior,Master's,Male,104500.0,0.02,2.5,29,83.0,5,2024-06-19,Low
EMP-10079,2019-03-27,Sales,Director,Bachelor's,Female,171000.0,0.2,1.7,12,116.0,2,2024-12-13,High
EMP-10080,2012-01-29,Finance,Senior,Bachelor's,Female,96700.0,0.24,4.5,4,94.0,4,2024-07-24,Low
EMP-10081,2014-07-08,Engineering,Junior,High School,Female,37800.0,,1.8,20,59.0,1,2024-02-28,Low
EMP-10082,2016-12-19,Engineering,Director,High School,Female,165300.0,0.03,4.2,22,72.0,3,2024-01-20,Low
EMP-10083,2013-01-28,Operations,Mid,Associate,Female,65400.0,0.1,2.8,3,68.0,5,2024-06-29,Medium
EMP-10084,2013-01-23,Engineering,Manager,PhD,Male,131900.0,0.08,2.0,14,8.0,3,2024-03-03,Low
EMP-10085,2020-11-28,Operations,Lead,High School,Male,114900.0,0.02,1.3,15,12.0,2,2024-12-02,High
EMP-10086,2020-10-29,Engineering,Lead,Bachelor's,Male,115400.0,0.2,4.6,18,26.0,2,2024-04-17,Low
EMP-10087,2015-05-03,HR,Manager,High School,Female,144800.0,0.11,3.8,19,4.0,3,2024-12-01,Medium
EMP-10088,2015-06-04,R&D,Mid,Master's,Female,79600.0,,2.1,14,111.0,0,2024-09-25,Medium
EMP-10089,2010-02-18,R&D,Manager,,Male,127700.0,0.21,,22,117.0,0,2024-09-26,Medium
EMP-10090,2021-07-24,Finance,Junior,High School,Non-binary,46600.0,0.2,2.8,13,82.0,4,2024-02-07,Low
EMP-10091,2019-12-25,Finance,Manager,Bachelor's,Male,125100.0,0.22,2.8,25,91.0,3,2024-05-28,Low
EMP-10092,2012-12-26,Legal,Director,Associate,Male,177100.0,0.14,2.3,9,60.0,4,2024-09-07,Low
EMP-10093,2017-11-19,HR,Senior,Master's,Female,93200.0,0.06,1.7,19,25.0,2,2024-06-27,Medium
EMP-10094,2016-09-18,R&D,Lead,PhD,Female,112600.0,0.09,2.3,11,74.0,0,2024-01-10,Medium
EMP-10095,2012-12-28,R&D,Manager,Master's,Female,128800.0,0.01,,29,42.0,5,2024-09-11,Low
EMP-10096,2013-03-08,Finance,Junior,High School,Female,33000.0,,3.6,27,49.0,3,2024-02-17,Low
EMP-10097,2023-03-07,Finance,Junior,PhD,Male,44700.0,0.1,1.7,3,117.0,4,2024-04-12,Low
EMP-10098,2022-08-20,Legal,Mid,Associate,Female,64400.0,,4.2,18,23.0,4,2024-09-05,Low
EMP-10099,2015-05-27,Sales,Junior,PhD,Male,35500.0,0.2,3.4,10,74.0,4,2024-05-23,Low
EMP-10100,2017-06-25,Engineering,Junior,Associate,Prefer not to say,38800.0,0.2,4.1,23,103.0,5,2024-06-04,Low
EMP-10101,2012-08-24,R&D,Junior,Associate,Male,43500.0,0.19,2.8,13,,5,2024-11-02,Medium
EMP-10102,2022-04-19,Engineering,Manager,PhD,Female,144000.0,0.08,,29,58.0,1,2024-10-25,Low
EMP-10103,2019-07-11,Operations,Lead,Associate,Female,113000.0,0.09,1.9,20,17.0,5,2024-10-03,Low
EMP-10104,2013-10-18,R&D,Director,PhD,,171100.0,0.2,1.5,17,92.0,5,2024-02-15,Medium
EMP-10105,2013-06-22,Finance,Senior,Associate,Female,102500.0,0.22,1.3,11,109.0,2,2024-04-13,Medium
EMP-10106,2020-05-05,Marketing,Senior,Associate,Female,82300.0,0.09,2.5,3,12.0,5,2024-03-12,High
EMP-10107,2019-02-09,R&D,Junior,Associate,Female,38200.0,0.2,4.7,1,81.0,2,2024-08-28,Low
EMP-10108,2014-08-18,Finance,Director,High School,Female,164400.0,0.0,3.5,9,29.0,3,2024-05-18,Low
EMP-10109,2012-07-26,Marketing,Director,Associate,Female,164900.0,0.03,3.0,19,58.0,1,2024-04-26,Low
EMP-10110,2016-06-28,HR,Junior,PhD,Male,37200.0,0.16,2.9,11,40.0,1,2024-10-23,Low
EMP-10111,2010-04-12,R&D,Senior,,Male,103600.0,0.16,3.8,3,119.0,0,2024-06-02,Medium
EMP-10112,2018-02-01,Finance,Junior,Bachelor's,Prefer not to say,53700.0,0.19,3.7,7,,5,2024-01-17,Medium
EMP-10113,2020-11-30,R&D,Manager,High School,Male,141200.0,,4.3,15,93.0,1,2024-10-24,Medium
EMP-10114,2014-08-19,Marketing,Director,Bachelor's,,172200.0,0.11,1.8,25,98.0,3,2024-11-02,Low
EMP-10115,2010-12-22,HR,Director,Associate,Female,183700.0,0.14,4.0,10,15.0,4,2024-02-21,Low
EMP-10116,2011-05-10,HR,Mid,High School,Female,65600.0,0.23,,7,,4,2024-01-01,Low
EMP-10117,2016-04-19,Sales,Mid,Master's,Female,62900.0,0.15,4.2,13,29.0,0,2024-06-25,Low
EMP-10118,2016-10-25,Finance,Director,High School,Female,163500.0,0.11,,18,37.0,2,2024-04-09,Medium
EMP-10119,2014-06-03,Finance,Senior,High School,Male,86700.0,0.08,3.0,26,7.0,3,2024-03-18,Medium
EMP-10120,2012-06-24,Sales,Manager,Bachelor's,Male,137800.0,0.11,4.9,27,68.0,3,2024-12-02,Low
EMP-10121,2016-12-05,Finance,Junior,Master's,Female,35200.0,0.07,,1,52.0,1,2024-06-02,Low
EMP-10122,2020-01-19,Legal,Manager,High School,Female,123900.0,0.08,3.3,29,62.0,1,2024-01-26,Low
EMP-10123,2012-07-14,Legal,Director,Associate,Female,174600.0,,2.5,25,,2,2024-03-29,Medium
EMP-10124,2013-08-14,Engineering,Director,Associate,Female,170300.0,0.13,3.9,24,30.0,2,2024-06-19,Medium
EMP-10125,2017-04-12,Marketing,Junior,Master's,Male,53400.0,0.24,3.4,27,33.0,3,2024-06-28,Low
EMP-10126,2019-12-26,HR,Manager,Bachelor's,Male,124900.0,0.06,4.0,13,87.0,3,2024-08-18,Medium
EMP-10127,2020-07-06,Operations,Lead,Bachelor's,Male,120700.0,0.18,2.8,13,,1,2024-09-03,Low
EMP-10128,2022-10-07,Marketing,Manager,High School,Prefer not to say,141100.0,0.21,2.4,12,101.0,4,2024-05-06,Low
EMP-10129,2018-02-21,Finance,Junior,Master's,Male,39300.0,0.2,2.7,10,26.0,3,2024-06-17,Medium
EMP-10130,2016-06-29,R&D,Junior,Associate,Female,34000.0,0.22,4.8,6,115.0,3,2024-07-05,Low
EMP-10131,2013-10-09,Legal,Junior,Associate,Female,34100.0,0.04,1.5,3,104.0,3,2024-04-01,Low
EMP-10132,2022-07-04,HR,Mid,PhD,Male,66700.0,0.12,2.5,15,27.0,4,2024-02-26,Medium
EMP-10133,2011-08-12,Finance,Senior,Associate,Male,82500.0,0.17,2.0,1,48.0,0,2024-06-01,High
EMP-10134,2011-01-09,R&D,Mid,Bachelor's,Female,65800.0,0.06,2.9,5,52.0,5,2024-02-05,Low
EMP-10135,2010-03-30,Finance,Director,Associate,Male,166300.0,0.09,2.8,17,33.0,5,2024-10-13,Medium
EMP-10136,2020-07-05,Marketing,Director,Bachelor's,Female,173600.0,0.12,,9,30.0,0,2024-08-20,Low
EMP-10137,2020-11-21,Sales,Junior,Associate,Female,43900.0,0.07,4.4,14,76.0,5,2024-02-18,Low
EMP-10138,2011-11-19,Sales,Senior,Bachelor's,Male,99800.0,0.07,3.7,29,,4,2024-10-09,High
EMP-10139,2017-06-10,Sales,Director,Master's,Male,167800.0,0.03,1.2,16,41.0,0,2024-02-27,Medium
EMP-10140,2022-08-23,Legal,Senior,PhD,Female,86500.0,0.19,4.6,17,118.0,5,2024-03-23,Medium
EMP-10141,2015-12-07,Marketing,Lead,High School,Female,114100.0,0.24,3.8,7,3.0,1,2024-10-31,Low
EMP-10142,2012-06-10,HR,Senior,Master's,Female,90200.0,0.2,3.1,14,119.0,5,2024-07-20,Low
EMP-10143,2020-12-18,Finance,Junior,Bachelor's,Male,44100.0,,2.0,6,79.0,0,2024-08-24,Low
EMP-10144,2019-09-28,R&D,Lead,High School,Female,114000.0,0.12,4.7,21,12.0,4,2024-01-19,Medium
EMP-10145,2020-12-14,Marketing,Senior,PhD,Male,87400.0,0.23,2.6,2,30.0,3,2024-01-18,Medium
EMP-10146,2014-04-04,Engineering,Senior,PhD,Male,99100.0,0.15,4.6,29,,0,2024-01-21,High
EMP-10147,2022-03-07,HR,Junior,Associate,Non-binary,53700.0,0.09,2.9,14,112.0,4,2024-09-19,Low
EMP-10148,2017-03-21,Marketing,Lead,Master's,Male,105700.0,0.21,3.4,5,101.0,0,2024-10-23,Low
EMP-10149,2010-03-10,HR,Junior,PhD,Male,40100.0,0.17,4.1,16,19.0,4,2024-02-19,Low
EMP-10150,2018-01-22,Sales,Lead,Master's,Female,107400.0,0.21,1.6,14,96.0,5,2024-07-30,Medium
EMP-10151,2012-01-16,Marketing,Manager,Master's,Prefer not to say,131300.0,0.17,2.2,17,39.0,1,2024-11-27,Low
EMP-10152,2016-05-31,Finance,Senior,High School,Female,94500.0,0.15,3.4,18,92.0,5,2024-12-22,Medium
EMP-10153,2015-08-22,Engineering,Director,PhD,Female,163000.0,0.08,4.9,27,90.0,2,2024-03-08,Low
EMP-10154,2015-07-09,Engineering,Lead,Master's,Male,109300.0,0.23,1.2,8,119.0,1,2024-07-31,Low
EMP-10155,2011-10-03,Operations,Director,Associate,Non-binary,183300.0,0.13,4.0,4,83.0,0,2024-10-22,Medium
EMP-10156,2013-02-09,Engineering,Senior,High School,Male,88400.0,0.07,3.8,4,13.0,4,2024-06-29,Low
EMP-10157,2010-08-15,Operations,Junior,Master's,Female,39200.0,0.17,4.0,28,68.0,2,2024-02-09,Low
EMP-10158,2010-07-27,Legal,Mid,Master's,Non-binary,69600.0,0.12,2.4,11,23.0,5,2024-07-10,Low
EMP-10159,2018-11-13,Legal,Lead,PhD,Female,114000.0,0.12,4.0,0,,5,2024-12-05,Low
EMP-10160,2013-04-03,Finance,Mid,PhD,Male,64900.0,0.08,5.0,13,67.0,5,2024-03-24,Low
EMP-10161,2016-08-24,Marketing,Lead,High School,,123000.0,0.15,2.1,26,71.0,3,2024-07-03,Low
EMP-10162,2018-04-02,Engineering,Mid,Associate,,72500.0,0.25,4.8,27,73.0,1,2024-03-27,High
EMP-10163,2014-03-02,Operations,Manager,Associate,Female,130600.0,0.18,3.9,28,,3,2024-12-05,Medium
EMP-10164,2021-10-14,HR,Director,High School,Male,162200.0,,1.2,7,22.0,0,2024-02-16,Low
EMP-10165,2013-10-12,R&D,Director,Master's,Male,163700.0,0.23,4.2,29,79.0,2,2024-06-18,Low
EMP-10166,2012-04-17,Finance,Manager,Bachelor's,Female,125300.0,0.21,1.8,17,63.0,0,2024-01-03,Low
EMP-10167,2016-12-17,Finance,Manager,High School,Male,143700.0,0.05,3.7,11,14.0,2,2024-11-26,Low
EMP-10168,2017-04-30,Engineering,Manager,Master's,Female,134400.0,0.01,3.6,6,75.0,1,2024-09-02,Low
EMP-10169,2018-07-05,Legal,Manager,Master's,Non-binary,134100.0,0.2,2.7,8,48.0,3,2024-06-04,Low
EMP-10170,2014-02-20,Marketing,Lead,,Male,109700.0,0.18,3.7,5,55.0,3,2024-03-17,High
EMP-10171,2017-12-28,R&D,Mid,PhD,Female,66200.0,0.22,2.3,11,43.0,0,2024-05-13,Low
EMP-10172,2017-03-07,Operations,Lead,High School,Male,103000.0,0.02,1.4,7,82.0,0,2024-02-18,Low
EMP-10173,2015-03-02,Marketing,Mid,PhD,Female,72500.0,,2.6,21,,0,2024-02-24,Medium
EMP-10174,2018-04-07,Marketing,Manager,High School,Male,136400.0,0.19,3.9,5,29.0,3,2024-05-02,Low
EMP-10175,2013-01-21,Finance,Manager,PhD,Female,138000.0,0.19,1.0,25,112.0,2,2024-02-29,Low
EMP-10176,2022-05-12,Engineering,Mid,PhD,Female,60800.0,,1.0,11,79.0,4,2024-03-19,High
EMP-10177,2018-04-14,Operations,Senior,High School,Male,85600.0,0.08,1.7,6,,3,2024-09-11,Medium
EMP-10178,2015-09-09,Operations,Lead,Bachelor's,Non-binary,117100.0,0.23,4.2,27,78.0,3,2024-05-18,Low
EMP-10179,2015-05-15,R&D,Junior,High School,Non-binary,50200.0,0.03,,2,30.0,4,2024-10-01,Low
EMP-10180,2011-04-18,Legal,Junior,,Female,48100.0,0.06,4.6,24,58.0,0,2024-10-04,Low
EMP-10181,2010-12-04,Sales,Director,PhD,Prefer not to say,165100.0,0.19,1.9,21,84.0,3,2024-03-01,High
EMP-10182,2012-05-28,Finance,Manager,High School,Male,135300.0,0.15,2.2,22,25.0,2,2024-06-15,Medium
EMP-10183,2022-09-18,Sales,Director,PhD,Female,165900.0,,2.2,21,88.0,4,2024-08-27,Medium
EMP-10184,2019-01-17,HR,Director,PhD,Female,177900.0,0.2,4.3,23,29.0,5,2024-05-05,Low
EMP-10185,2011-02-19,HR,Mid,High School,Non-binary,72700.0,0.17,3.5,18,112.0,3,2024-03-24,Medium
EMP-10186,2014-11-09,HR,Junior,,Male,37700.0,0.14,4.1,22,86.0,2,2024-10-18,Low
EMP-10187,2021-02-01,Engineering,Mid,High School,Male,64600.0,0.08,3.4,20,,0,2024-10-01,High
EMP-10188,2019-06-28,Sales,Lead,Associate,Female,116000.0,0.14,3.1,1,57.0,0,2024-01-22,High
EMP-10189,2021-03-16,Engineering,Junior,High School,Female,46400.0,0.09,4.2,10,66.0,5,2024-09-16,Low
EMP-10190,2013-07-14,Marketing,Senior,Bachelor's,Male,84000.0,0.14,1.4,23,82.0,4,2024-05-11,Low
EMP-10191,2016-09-20,HR,Director,Bachelor's,Female,165900.0,0.23,3.4,10,6.0,4,2024-07-06,Low
EMP-10192,2023-01-13,Finance,Mid,Associate,Female,63300.0,,1.2,14,113.0,5,2024-04-11,Low
EMP-10193,2011-10-20,HR,Mid,High School,Female,59200.0,0.2,2.8,5,68.0,2,2024-05-25,Medium
EMP-10194,2013-03-08,Sales,Senior,Master's,Female,90700.0,0.15,1.4,11,31.0,3,2024-07-25,Low
EMP-10195,2015-02-07,Legal,Mid,Associate,Male,68800.0,,4.1,7,52.0,4,2024-10-11,High
EMP-10196,2013-09-02,Legal,Manager,PhD,Male,136500.0,0.05,2.6,19,18.0,4,2024-04-14,Low
EMP-10197,2013-02-06,Sales,Junior,PhD,Male,47400.0,,4.3,14,11.0,4,2024-03-06,Low
EMP-10198,2019-12-10,R&D,Lead,Bachelor's,Male,109800.0,0.2,4.6,10,78.0,0,2024-05-02,Low
EMP-10199,2019-01-02,R&D,Senior,Associate,Male,93100.0,0.05,1.3,22,37.0,3,2024-09-30,Low
EMP-10200,2012-01-05,Engineering,Lead,PhD,Male,120200.0,0.06,3.0,14,68.0,5,2024-09-13,High
EMP-10201,2010-11-24,Sales,Manager,High School,Male,123900.0,0.16,4.8,9,83.0,2,2024-05-02,Low
EMP-10202,2019-11-10,Marketing,Junior,,Female,34300.0,,2.8,6,108.0,2,2024-02-18,Medium
EMP-10203,2020-10-02,Operations,Junior,High School,Male,48700.0,0.15,,17,,4,2024-01-08,Low
EMP-10204,2014-04-13,Sales,Manager,High School,Male,129300.0,,3.4,21,95.0,0,2024-02-24,Medium
EMP-10205,2014-11-24,Finance,Lead,Associate,Male,117900.0,0.09,2.8,10,25.0,4,2024-01-28,Low
EMP-10206,2018-05-10,Legal,Senior,PhD,Female,89100.0,0.22,1.5,25,15.0,2,2024-09-07,Medium
EMP-10207,2010-01-23,Finance,Manager,Associate,Female,140400.0,0.23,1.9,26,26.0,3,2024-12-25,Medium
EMP-10208,2010-09-20,Finance,Junior,Bachelor's,Male,52000.0,0.18,2.3,22,51.0,0,2024-10-19,Medium
EMP-10209,2021-06-20,HR,Manager,PhD,Male,134300.0,0.25,4.1,4,42.0,1,2024-04-17,Low
EMP-10210,2019-07-18,Legal,Director,Bachelor's,,165600.0,0.06,4.7,18,63.0,1,2024-12-18,Low
EMP-10211,2013-03-18,R&D,Lead,Master's,Male,104000.0,0.07,2.6,27,46.0,4,2024-04-27,Low
EMP-10212,2016-05-09,HR,Mid,Associate,Male,71200.0,0.24,4.4,6,86.0,1,2024-02-14,Low
EMP-10213,2011-08-13,Legal,Senior,Master's,Male,99200.0,0.15,,15,23.0,4,2024-03-28,Medium
EMP-10214,2011-03-30,Finance,Lead,PhD,Female,103800.0,0.23,1.9,12,82.0,0,2024-03-19,Low
EMP-10215,2021-07-17,HR,Manager,Associate,Female,129900.0,0.01,1.9,23,94.0,4,2024-05-15,Low
EMP-10216,2019-06-13,Legal,Lead,High School,Non-binary,119100.0,,,2,2.0,0,2024-01-16,Medium
EMP-10217,2017-08-06,Finance,Mid,PhD,Male,62600.0,0.02,4.1,13,114.0,4,2024-08-05,Medium
EMP-10218,2011-05-29,Finance,Senior,,Female,98700.0,0.1,1.0,6,17.0,2,2024-07-20,Low
EMP-10219,2019-11-03,HR,Manager,Associate,Female,132400.0,0.22,3.2,11,108.0,0,2024-11-15,Medium
EMP-10220,2010-03-14,Engineering,Director,Master's,Female,169000.0,0.11,,4,47.0,3,2024-09-22,Low
EMP-10221,2013-12-15,Finance,Director,Associate,Non-binary,165300.0,0.02,4.4,20,99.0,0,2024-02-26,Medium
EMP-10222,2013-09-09,Engineering,Manager,High School,Male,124700.0,0.11,5.0,19,15.0,0,2024-05-29,Low
EMP-10223,2018-07-01,Marketing,Director,Associate,Male,177600.0,0.1,1.8,18,30.0,2,2024-10-18,Low
EMP-10224,2016-08-19,HR,Senior,Bachelor's,Female,90700.0,0.12,2.8,1,119.0,4,2024-03-02,Low
EMP-10225,2010-02-04,Sales,Mid,Associate,Male,72400.0,0.18,,28,78.0,4,2024-02-13,Medium
EMP-10226,2019-12-10,R&D,Manager,Bachelor's,Male,137100.0,0.05,3.4,9,107.0,1,2024-12-05,Medium
EMP-10227,2022-08-21,R&D,Mid,Associate,Female,61300.0,0.03,4.5,14,54.0,5,2024-10-23,Low
EMP-10228,2017-10-22,R&D,Junior,Associate,Male,34400.0,0.22,4.8,8,,5,2024-04-21,Low
EMP-10229,2022-09-24,HR,Mid,High School,Female,71800.0,,1.4,8,,5,2024-04-29,Low
EMP-10230,2014-05-20,R&D,Senior,High School,Female,102700.0,,2.1,18,91.0,5,2024-05-04,High
EMP-10231,2020-07-07,Sales,Senior,Master's,,92400.0,0.02,1.4,14,57.0,3,2024-10-31,Low
